Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolecularFormula,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Kelly_100,Kelly_101,Kelly_102,Kelly_103,Kelly_134,Kelly_135,Kelly_136,Kelly_137,Kelly_138,Kelly_139,Kelly_21,Kelly_22,Kelly_23,Kelly_24,Kelly_25,Kelly_26,Kelly_27,Kelly_28,Kelly_29,Kelly_30,Kelly_68,Kelly_69,Kelly_70,Kelly_71,Kelly_72,Kelly_73,Kelly_98,Kelly_99
151.040030285714,8.0,8.0,3.0,0.0,0,0.0,0.0,0,CHO,Lignin,152.047306752594,0.245782095388162,1,C8H8O3,0.375,1.0,-0.25,67.425,5.0,2.0,0.4,0.5384615384615384,2.0,4053909.3,3847521.8,1393041.0,3569256.8,956825.4,968074.1,1129633.4,1043204.5,1082673.3,915292.6,916565.6,1398963.3,1276705.3,1417235.9,1041901.2,2055329.5,1090482.4,1787113.4,1411899.4,2477086.0,1721730.3,903089.0,1998802.1,3277821.0,873368.3,1910369.4,3247747.8,1332880.4
153.019317630137,7.0,6.0,4.0,0.0,0,0.0,0.0,0,CHO,Lignin,154.026594097017,0.0946848375808869,1,C7H6O4,0.5714285714285714,0.8571428571428571,0.2857142857142856,52.15714285714286,5.0,,0.3333333333333333,0.6,,2019641.1,1785561.1,1521894.4,1534408.3,0.0,1164090.0,1632831.8,2714887.5,1580095.3,2429903.5,0.0,0.0,0.0,852451.8,859289.1,1068240.0,0.0,0.0,0.0,929721.3,1346626.9,945143.1,975984.8,1776978.4,1150866.6,1821814.9,1304145.4,919675.8
154.014559615385,6.0,5.0,4.0,1.0,0,0.0,0.0,0,CHON,Tannin,155.021836082265,0.139153527701145,1,C6H5O4N,0.6666666666666666,0.8333333333333334,1.0,31.799999999999997,5.0,,0.0,0.6666666666666666,0.0,924266.9,1231614.8,1394360.3,870925.6,911207.5,0.0,0.0,0.0,904230.9,0.0,0.0,0.0,0.0,859021.5,884399.9,0.0,0.0,0.0,0.0,0.0,891077.9,1120691.9,1651632.6,0.0,975242.6,1820993.9,910666.4,986482.3
154.998608314815,6.0,4.0,5.0,0.0,0,0.0,0.0,0,CHO,Condensed hydrocarbon,156.005884781695,-0.0739894830402111,1,C6H4O5,0.8333333333333334,0.6666666666666666,1.0,31.799999999999997,5.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,1487480.0,1727796.4,0.0,0.0,1331167.4,918529.3,1252218.1,1004520.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448345.6,0.0,1452157.3,1925123.1,1488258.3,1892390.5,2532690.3,1490273.4
163.024769755556,5.0,8.0,6.0,0.0,0,0.0,0.0,0,CHO,Carbohydrate,164.032046222436,0.254626857579109,1,C5H8O6,1.2,1.6,0.7999999999999998,37.5,2.0,-4.0,4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227268.5,0.0,1665177.0,0.0,1772896.8,1431986.5,1108063.9,1120718.5,1122584.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.040021407407,9.0,8.0,3.0,0.0,0,0.0,0.0,0,CHO,Lignin,164.047297874287,0.281923647074738,1,C9H8O3,0.3333333333333333,0.8888888888888888,-0.22222222222222232,66.63333333333333,6.0,3.0,0.5,0.6,3.0,1529569.4,1355501.9,1161877.1,1066768.1,1020185.1,1260201.8,902946.7,0.0,1103157.1,0.0,0.0,920739.9,0.0,1072076.4,1077034.9,0.0,0.0,0.0,0.0,0.0,1560656.0,1612759.8,1525701.0,1064655.4,1602494.4,0.0,1621858.9,1521774.6
165.019305657407,8.0,6.0,4.0,0.0,0,0.0,0.0,0,CHO,Condensed hydrocarbon,166.026582124287,0.159954582406635,1,C8H6O4,0.5,0.75,0.25,53.175,6.0,2.0,0.5,0.6666666666666666,2.0,2643178.0,3220042.3,2766308.5,3408978.3,2458655.5,2451599.0,2226107.3,1101325.3,2437197.5,1825768.0,0.0,1088802.4,0.0,1586341.8,1538372.3,0.0,0.0,0.0,0.0,1099057.4,2560142.8,2560866.8,2332717.0,2940102.0,2379677.0,3514245.3,3266369.5,2686474.8
165.040430821782,5.0,10.0,6.0,0.0,0,0.0,0.0,0,CHO,Carbohydrate,166.047707288662,0.185277703228658,1,C5H10O6,1.2,2.0,0.3999999999999999,48.9,,-5.0,5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5559213.5,6679234.0,5298188.5,6201325.0,6399395.5,6194189.5,4736890.0,4964775.0,6589036.0,6517984.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.055689627451,9.0,10.0,3.0,0.0,0,0.0,0.0,0,CHO,Lignin,166.062966094331,0.169170584891526,1,C9H10O3,0.3333333333333333,1.1111111111111112,-0.44444444444444464,72.96666666666667,5.0,2.0,0.3333333333333333,0.4666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047737.3,0.0,0.0,0.0,1050697.1,0.0,0.0,0.0,0.0,0.0,0.0,1191639.9,1128808.9,0.0,1047676.1,0.0,0.0
167.034969478873,8.0,8.0,4.0,0.0,0,0.0,0.0,0,CHO,Lignin,168.042245945753,0.0761680293548795,1,C8H8O4,0.5,1.0,0.0,60.3,5.0,,0.25,0.5,,3043964.5,1944458.1,1650150.1,2583504.8,925824.7,1477767.1,1268413.6,1220085.3,1445125.1,1335832.5,0.0,0.0,0.0,1085990.1,0.0,1029719.1,0.0,0.0,875670.0,0.0,864143.9,933521.5,1594926.9,1746887.1,1168790.1,1211892.4,1898706.9,1370170.4
