SampleID,Amino sugar,Carbohydrate,Cond. HC,Lignin,Lipid,Other,Protein,Tannin,Unsat. HC
Kelly_27,6.85,16.54,5.99,41.73,2.28,0.03,15.29,11.07,0.21
Kelly_28,7.46,15.24,6.34,40.46,2.88,0.06,16.93,10.5,0.13
Kelly_29,9.19,16.91,4.37,37.87,2.89,0.07,19.16,9.33,0.21
Kelly_30,9.03,16.03,4.65,39.05,2.56,0.03,18.56,9.84,0.25
Kelly_31,6.94,13.32,7.79,43.68,2.07,0.08,15.06,10.95,0.13
Kelly_32,6.6,12.71,8.03,44.58,2.1,0.13,14.32,11.4,0.13
Kelly_33,7.49,15.04,6.4,42.75,1.86,0.09,15.39,10.88,0.12
Kelly_34,7.78,14.27,6.21,43.09,2.59,0.03,16.66,9.23,0.14
Kelly_35,7.66,14.94,6.46,41.77,2.52,0.03,16.74,9.77,0.09
Kelly_36,6.65,13.78,7.52,44.14,1.93,0.08,15.38,10.32,0.2
Kelly_37,6.75,14.03,8.52,43.25,1.85,0.13,14.06,11.25,0.15
Kelly_38,7.05,14.56,7.84,42.05,2.0,0.11,15.11,11.11,0.16
Kelly_39,6.94,13.01,7.84,44.03,2.12,0.05,14.93,10.94,0.15
Kelly_40,6.89,14.47,7.49,42.41,1.69,0.06,15.65,11.14,0.2
Kelly_41,7.02,14.26,7.68,43.09,2.06,0.05,14.54,11.21,0.1
Kelly_42,11.56,12.94,1.43,39.73,1.72,0.22,19.31,12.32,0.76
Kelly_43,11.67,13.26,1.1,39.29,2.0,0.2,19.66,12.06,0.76
Kelly_44,11.13,11.92,1.59,39.96,2.28,0.19,19.82,12.25,0.85
Kelly_45,11.85,12.67,1.55,38.94,2.0,0.2,20.08,11.93,0.79
Kelly_46,10.94,12.07,1.4,39.96,2.18,0.19,20.38,12.22,0.66
Kelly_47,11.19,12.29,1.54,40.32,1.85,0.19,19.89,11.86,0.87
Kelly_48,11.21,11.86,1.52,40.66,2.12,0.24,19.68,11.98,0.72
Kelly_49,11.03,12.04,1.6,40.22,2.3,0.26,19.84,11.96,0.74
Kelly_50,11.31,12.6,1.34,39.82,1.9,0.29,19.68,12.34,0.72
Kelly_51,11.36,13.01,1.21,39.02,2.22,0.19,19.83,12.45,0.71
Kelly_52,8.92,12.34,6.89,42.66,1.89,0.24,16.67,10.0,0.38
Kelly_53,8.58,11.67,7.08,43.44,2.03,0.26,17.02,9.54,0.37
Kelly_54,8.45,12.09,5.83,43.96,2.26,0.19,17.59,9.26,0.38
Kelly_55,9.35,13.29,6.39,42.25,1.28,0.27,16.25,10.58,0.34
Kelly_56,9.55,13.21,6.34,42.31,1.36,0.19,16.18,10.47,0.39
Kelly_57,9.36,14.03,6.99,41.4,0.95,0.27,15.28,11.4,0.32
Kelly_58,9.75,13.76,6.51,41.5,1.05,0.28,15.93,10.75,0.48
Kelly_59,9.35,13.24,6.62,42.46,1.46,0.22,16.02,10.19,0.42
Kelly_60,9.48,13.32,6.59,41.48,1.34,0.29,16.21,10.81,0.49
Kelly_61,8.97,12.5,6.77,43.05,1.74,0.25,16.18,10.22,0.32
Kelly_62,7.54,10.12,6.68,42.82,3.31,0.31,17.53,11.29,0.4
Kelly_63,8.62,12.67,3.83,39.7,4.91,0.2,21.61,7.93,0.54
Kelly_64,6.58,7.7,5.45,44.76,6.54,0.06,20.24,8.06,0.6
Kelly_65,7.95,9.93,5.05,45.5,3.43,0.1,17.9,9.61,0.51
Kelly_66,6.57,10.92,5.38,42.56,5.7,0.15,19.65,8.56,0.51
Kelly_67,7.55,10.43,5.86,44.3,3.14,0.25,17.16,10.79,0.51
Kelly_68,4.5,7.99,12.0,48.77,1.91,0.17,10.78,13.78,0.1
Kelly_69,4.47,9.5,12.96,47.04,1.42,0.26,9.39,14.81,0.15
Kelly_70,3.9,8.32,10.53,50.65,2.36,0.2,11.17,12.79,0.08
Kelly_71,3.77,7.08,14.1,48.3,1.27,0.31,8.08,16.93,0.15
Kelly_72,3.69,8.62,13.46,48.21,1.3,0.23,8.79,15.61,0.09
Kelly_73,3.47,7.62,14.69,49.5,1.34,0.21,8.43,14.63,0.12
Kelly_74,4.65,7.8,11.22,48.93,2.2,0.2,11.77,13.11,0.12
Kelly_75,3.99,8.64,13.14,48.6,1.48,0.24,8.36,15.46,0.09
Kelly_76,3.11,6.79,12.88,52.16,2.52,0.15,9.79,12.54,0.06
Kelly_77,3.65,8.32,14.54,46.09,0.97,0.55,6.73,19.07,0.08
Kelly_78,3.19,7.69,14.49,49.87,1.19,0.29,7.36,15.86,0.06
Kelly_79,4.51,7.63,13.4,47.51,1.67,0.24,10.07,14.82,0.16
Kelly_80,7.35,7.53,3.21,44.0,9.01,0.11,22.49,5.78,0.53
Kelly_81,7.27,7.98,2.47,44.44,9.27,0.06,23.31,4.7,0.5
Kelly_82,7.21,6.78,1.92,44.78,10.72,0.06,24.07,3.83,0.64
Kelly_83,6.92,6.27,2.25,46.21,10.47,0.02,23.72,3.48,0.66
Kelly_84,7.63,7.59,3.15,43.9,10.01,0.06,23.42,3.72,0.53
Kelly_85,7.48,8.31,2.44,43.5,9.81,0.06,23.41,4.55,0.43
Kelly_86,6.8,10.62,6.31,43.95,3.59,0.25,17.46,10.43,0.58
Kelly_87,6.86,12.89,7.8,41.25,2.35,0.44,15.22,12.87,0.33
Kelly_88,6.53,9.96,6.43,48.14,3.17,0.14,16.03,9.03,0.57
Kelly_89,6.67,8.33,4.9,48.17,4.94,0.06,19.02,7.26,0.65
Kelly_90,6.75,10.91,6.43,46.46,3.29,0.08,17.09,8.45,0.54
Kelly_91,6.03,8.0,5.34,48.36,5.81,0.04,19.82,5.96,0.63
Kelly_92,7.59,14.73,9.81,39.35,1.53,0.2,12.33,14.25,0.2
Kelly_93,7.23,12.6,11.79,39.51,1.65,0.41,11.5,15.15,0.17
Kelly_94,4.45,12.79,14.73,39.12,1.06,0.61,7.14,19.93,0.16
Kelly_95,4.89,11.81,14.02,40.79,1.13,0.63,7.78,18.83,0.11
Kelly_96,5.67,12.82,14.07,39.5,1.18,0.5,7.88,18.31,0.08
Kelly_97,3.36,13.37,17.32,37.92,0.85,0.77,5.94,20.37,0.1
Kelly_98,4.98,10.58,13.34,42.86,1.04,0.29,8.4,18.28,0.22
Kelly_99,4.18,10.21,13.06,45.62,1.16,0.29,7.77,17.56,0.15
