SampleID,Name,Litter,Pickup_t,Plot,Temp,CO2,percent_mass,percent_C,percent_N,percent_P,percent_carbs,percent_aromatics
Kelly_85,SPL_T_0.5_9_eCO2,SPL,T_0.5,10,9,eCO2,70.6,52.6,1.11,0.108,,
Kelly_86,LTL_T_1_0_aCO2,LTL,T_1,6,0,aCO2,57,51.2,1.9,0.114,36.07,24.31
Kelly_87,LTL_T_1_0_eCO2,LTL,T_1,19,0,eCO2,64.6,52.6,1.95,0.133,,
Kelly_88,LTL_T_1_4.5_aCO2,LTL,T_1,13,4.5,aCO2,47.1,50.4,1.73,0.106,,
Kelly_89,LTL_T_1_4.5_eCO2,LTL,T_1,4,4.5,eCO2,66.2,51.6,1.67,0.109,,
Kelly_90,LTL_T_1_9_aCO2,LTL,T_1,17,9,aCO2,52.3,49.8,2.07,0.139,25.38,26.21
Kelly_91,LTL_T_1_9_eCO2,LTL,T_1,10,9,eCO2,56.9,51.3,1.83,0.116,,
Kelly_92,LTR_T_1_0_aCO2,LTR,T_1,6,0,aCO2,76.8,,,0.065,,
Kelly_93,LTR_T_1_0_eCO2,LTR,T_1,19,0,eCO2,75,,,0.054,,
Kelly_94,LTR_T_1_4.5_aCO2,LTR,T_1,13,4.5,aCO2,68.5,,,0.093,,
Kelly_95,LTR_T_1_4.5_eCO2,LTR,T_1,4,4.5,eCO2,64.2,,,0.121,,
Kelly_96,LTR_T_1_9_aCO2,LTR,T_1,17,9,aCO2,73.9,,,0.066,,
Kelly_97,LTR_T_1_9_eCO2,LTR,T_1,10,9,eCO2,52.2,,,0.069,,
Kelly_98,ANG_T_1_0_aCO2,ANG,T_1,6,0,aCO2,65.3,45.4,0.7,0.056,56.18,22.05
Kelly_99,ANG_T_1_0_eCO2,ANG,T_1,19,0,eCO2,66.9,46,0.82,0.06,,
Kelly_100,ANG_T_1_4.5_aCO2,ANG,T_1,13,4.5,aCO2,50.8,45.4,1.04,0.085,,
Kelly_101,ANG_T_1_4.5_eCO2,ANG,T_1,4,4.5,eCO2,55.8,41,0.74,0.053,,
Kelly_102,ANG_T_1_9_aCO2,ANG,T_1,17,9,aCO2,53.4,45.8,0.91,0.07,62.72,21.73
Kelly_103,ANG_T_1_9_eCO2,ANG,T_1,10,9,eCO2,71.6,44.5,0.68,0.048,,
Kelly_104,MAG_T_1_0_aCO2,MAG,T_1,6,0,aCO2,75.5,,,0.067,49.21,21.63
Kelly_105,MAG_T_1_0_eCO2,MAG,T_1,19,0,eCO2,80.5,,,0.068,,
Kelly_106,MAG_T_1_4.5_aCO2,MAG,T_1,13,4.5,aCO2,69.5,,,0.062,,
Kelly_107,MAG_T_1_4.5_eCO2,MAG,T_1,4,4.5,eCO2,73.3,,,0.061,,
Kelly_108,MAG_T_1_9_aCO2,MAG,T_1,17,9,aCO2,67.8,,,0.09,50.26,23.05
Kelly_109,MAG_T_1_9_eCO2,MAG,T_1,10,9,eCO2,76.2,,,0.071,,
Kelly_110,SPL_T_1_0_aCO2,SPL,T_1,6,0,aCO2,58,51,1.15,0.083,28.39,28.47
Kelly_111,SPL_T_1_0_eCO2,SPL,T_1,19,0,eCO2,62,50.9,1.12,,,
Kelly_112,SPL_T_1_4.5_aCO2,SPL,T_1,13,4.5,aCO2,52.3,49.9,1.35,0.105,,
Kelly_113,SPL_T_1_4.5_eCO2,SPL,T_1,4,4.5,eCO2,60.5,49.9,1.18,0.09,,
Kelly_114,SPL_T_1_9_aCO2,SPL,T_1,17,9,aCO2,54.9,50.7,1.31,0.1,29.97,29.63
Kelly_115,SPL_T_1_9_eCO2,SPL,T_1,10,9,eCO2,59.4,49.7,1.19,0.098,,
Kelly_116,SPR_T_1_0_aCO2,SPR,T_1,6,0,aCO2,69.3,,,0.059,,
Kelly_117,SPR_T_1_0_eCO2,SPR,T_1,19,0,eCO2,71.8,,,,,
Kelly_118,SPR_T_1_4.5_aCO2,SPR,T_1,13,4.5,aCO2,63.5,,,0.065,,
Kelly_119,SPR_T_1_4.5_eCO2,SPR,T_1,4,4.5,eCO2,66.2,,,0.076,,
Kelly_120,SPR_T_1_9_aCO2,SPR,T_1,17,9,aCO2,63,,,,,
Kelly_121,SPR_T_1_9_eCO2,SPR,T_1,10,9,eCO2,60.8,,,0.066,,
Kelly_122,LTL_T_2_0_aCO2,LTL,T_2,6,0,aCO2,41.9,,,,26.28,25.67
Kelly_123,LTL_T_2_0_eCO2,LTL,T_2,19,0,eCO2,55.4,,,,,
Kelly_124,LTL_T_2_4.5_aCO2,LTL,T_2,13,4.5,aCO2,36.5,,,,,
Kelly_125,LTL_T_2_4.5_eCO2,LTL,T_2,4,4.5,eCO2,49.5,,,,,
Kelly_126,LTL_T_2_9_aCO2,LTL,T_2,17,9,aCO2,27.5,,,,26.48,26.59
Kelly_127,LTL_T_2_9_eCO2,LTL,T_2,10,9,eCO2,39.2,,,,,
Kelly_128,LTR_T_2_0_aCO2,LTR,T_2,6,0,aCO2,66.5,,,,,
Kelly_129,LTR_T_2_0_eCO2,LTR,T_2,19,0,eCO2,74.7,,,,,
Kelly_130,LTR_T_2_4.5_aCO2,LTR,T_2,13,4.5,aCO2,50.2,,,,,
Kelly_131,LTR_T_2_4.5_eCO2,LTR,T_2,4,4.5,eCO2,42.5,,,,,
Kelly_132,LTR_T_2_9_aCO2,LTR,T_2,17,9,aCO2,58.5,,,,,
Kelly_133,LTR_T_2_9_eCO2,LTR,T_2,10,9,eCO2,46.8,,,,,
Kelly_134,ANG_T_2_0_aCO2,ANG,T_2,6,0,aCO2,49.5,,,,57.25,21.79
Kelly_135,ANG_T_2_0_eCO2,ANG,T_2,19,0,eCO2,78.1,,,,,
Kelly_136,ANG_T_2_4.5_aCO2,ANG,T_2,13,4.5,aCO2,47.1,,,,,
Kelly_137,ANG_T_2_4.5_eCO2,ANG,T_2,4,4.5,eCO2,49.9,,,,,
Kelly_138,ANG_T_2_9_aCO2,ANG,T_2,17,9,aCO2,48.1,,,,54.25,23
Kelly_139,ANG_T_2_9_eCO2,ANG,T_2,10,9,eCO2,62.6,,,,,
Kelly_140,MAG_T_2_0_aCO2,MAG,T_2,6,0,aCO2,68.6,,,,52.03,22.34
Kelly_141,MAG_T_2_0_eCO2,MAG,T_2,19,0,eCO2,89.4,,,,,
Kelly_142,MAG_T_2_4.5_aCO2,MAG,T_2,13,4.5,aCO2,67.5,,,,,
Kelly_143,MAG_T_2_4.5_eCO2,MAG,T_2,4,4.5,eCO2,94.9,,,,,
Kelly_144,MAG_T_2_9_aCO2,MAG,T_2,17,9,aCO2,77.3,,,,51.68,22.78
Kelly_145,MAG_T_2_9_eCO2,MAG,T_2,10,9,eCO2,82.6,,,,,
Kelly_146,SPL_T_2_0_aCO2,SPL,T_2,6,0,aCO2,48.4,,,,23.56,27.37
Kelly_147,SPL_T_2_0_eCO2,SPL,T_2,19,0,eCO2,58.3,,,,,
Kelly_148,SPL_T_2_4.5_aCO2,SPL,T_2,13,4.5,aCO2,42.6,,,,,
Kelly_149,SPL_T_2_4.5_eCO2,SPL,T_2,4,4.5,eCO2,33.5,,,,,
Kelly_150,SPL_T_2_9_aCO2,SPL,T_2,17,9,aCO2,41.5,,,,27.55,27.98
Kelly_151,SPL_T_2_9_eCO2,SPL,T_2,10,9,eCO2,36,,,,,
Kelly_152,SPR_T_2_0_aCO2,SPR,T_2,6,0,aCO2,66.4,,,,,
Kelly_153,SPR_T_2_0_eCO2,SPR,T_2,19,0,eCO2,72,,,,,
Kelly_154,SPR_T_2_4.5_aCO2,SPR,T_2,13,4.5,aCO2,59.3,,,,,
Kelly_155,SPR_T_2_4.5_eCO2,SPR,T_2,4,4.5,eCO2,60.9,,,,,
Kelly_156,SPR_T_2_9_aCO2,SPR,T_2,17,9,aCO2,50.2,,,,,
Kelly_157,SPR_T_2_9_eCO2,SPR,T_2,10,9,eCO2,51.6,,,,,
