Mass,Pickup_t,Mass_197.118319382353,Mass_199.133958777778,Mass_215.165292090909,Mass_243.196508884615,Mass_253.144533309524,Mass_255.23292782906,Mass_257.175833178571,Mass_267.160174725,Mass_279.16017326087,Mass_281.175899,Mass_281.248611714286,Mass_283.191515236842,Mass_283.264295988764,Mass_285.1261731,Mass_285.207142884211,Mass_287.222786235772,Mass_293.175872931034,Mass_293.212245863636,Mass_295.227874185185,Mass_297.153007758065,Mass_297.243538842105,Mass_307.191524625,Mass_309.170789181818,Mass_309.207143388889,Mass_309.279836,Mass_311.168630556291,Mass_311.186405398374,Mass_311.222772076336,Mass_313.202066375,Mass_313.238419428572,Mass_315.217709648649,Mass_315.254074025974,Mass_321.207119304348,Mass_323.186359425676,Mass_325.184315150327,Mass_325.202071454545,Mass_327.217683461539,Mass_329.233314821656,Mass_331.249009165354,Mass_333.207155595506,Mass_335.222800655173,Mass_337.202014042105,Mass_339.199967053691,Mass_339.217653695652,Mass_341.233312521739,Mass_349.202023092308,Mass_351.217688301887,Mass_353.233358876543,Mass_355.249029571428,Mass_357.264618137931,Mass_365.196918431373,Mass_365.233345692308,Mass_367.212633132353,Mass_367.3581262,Mass_369.228243033058,Mass_371.243899758242,Mass_373.25957247619,Mass_379.212610938053,Mass_381.228236662791,Mass_383.24389725,Mass_383.353033142857,Mass_393.228275927083,Mass_395.243910875,Mass_397.332306727273,Mass_407.243898543478,Mass_419.243898388889,Mass_433.2595394,Mass_435.238789458015,Mass_437.25444703,Mass_439.270129415094,Mass_447.275182363636,Mass_449.254464051724,Mass_451.270107205479,Mass_455.353062652174,Mass_461.290822694444,Mass_463.270128340659,Mass_465.2857854,Mass_473.282644207921,Mass_473.290892093333,Mass_475.306454833333,Mass_477.285821546512,Mass_479.3013794,Mass_487.306502690909,Mass_489.285825146342,Mass_489.322201957447,Mass_491.301420045455,Mass_493.280730666667,Mass_495.296341385416,Mass_497.31202640678,Mass_501.322161382353,Mass_503.301404798077,Mass_503.337786111111,Mass_505.280661655405,Mass_505.317033232558,Mass_507.296277285714,Mass_507.332705722222,Mass_509.31196025974,Mass_511.327650307692,Mass_517.317099614754,Mass_519.296383536764,Mass_519.332745325842,Mass_519.390228826087,Mass_521.311984201835,Mass_521.348335206896,Mass_523.327589731343,Mass_533.311964568346,Mass_535.327705281554,Mass_537.343265346939,Mass_543.299696666667,Mass_547.327718830508,Mass_547.421523833333,Mass_549.306883547445,Mass_551.322621288136,Mass_553.338146396825,Mass_563.322493,Mass_563.4164035,Mass_565.33820259375,Mass_575.322491602564,Mass_577.338290257576,Mass_589.338251558139,Mass_603.353922,Mass_617.369498931035,Mass_618.477408125,Mass_619.348724967742,Mass_621.364429461538,Mass_633.364310076923,Mass_635.41647284,Mass_657.253483333333,Mass_675.375095,Mass_727.339876666667,Mass_793.514072884615,Mass_815.498437285714,Mass_817.514103363636,Mass_867.747471214286,Mass_867.748089,Mass_966.783979125,Mass_970.765267875,Mass_1003.831054,Mass_1015.65494675,Mass_1029.75851533333,Mass_1031.630989
Kelly_144,T_2,0,0,0,0,0,3082037,1322441.5,0,0,0,0,0,1403200.5,0,0,2729622,0,0,0,1949422,0,0,0,1500355.6,0,6459616,1022306.6,1722344.1,0,1024036.9,0,0,0,2016638.5,6652720.5,2716724.5,8524027,11334353,1249717.8,0,0,0,5709986.5,0,0,1552724.8,0,0,0,0,1935581.3,0,1959941.4,0,2286630.8,0,0,1220680.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622793.4,1453964.3,0,0,0,0,1477062.6,0,0,0,0,0,0,0,0,1705327.5,0,0,0,0,0,1628232.1,1935060.1,0,0,0,0,0,1775929.9,0,0,0,0,0,2023249.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly_145,T_2,0,0,0,0,0,1862827.1,0,0,0,0,0,0,1285462.9,1051471,0,2130516,0,0,0,2711296,0,0,0,1350158.4,0,7899694.5,1514417,1343542.5,0,1417717.6,0,0,0,1418189.3,7305341.5,2430081.8,10374727,13710363,0,1390049.1,0,0,6157806.5,0,0,2306501.3,1291528.9,0,0,0,3158283.5,0,1797211,0,1229095.9,0,0,1126876.8,0,0,0,0,0,5066421.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2117556,0,0,0,0,0,1419661.1,0,0,0,0,0,0,0,0,1610746.1,0,0,0,0,0,0,1765028.6,0,0,0,0,0,0,0,0,3194215.3,0,0,1520807.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692705,0,0,0
Kelly_31,T_0,905896.3,977879.8,0,0,0,2650053,0,0,0,0,0,0,1339259.9,0,1474909.1,2687935.8,1277551.5,1136945.5,0,994271.1,1010661.1,3295578,1124685.1,3513937.8,0,4768602.5,4300125,3424610.3,1682052.3,2892425.8,0,0,0,6706545.5,6657803.5,9374479,26333372,30679674,1687877.5,3735056.5,1121397,1777371.8,4743633,0,0,6693394,5286963.5,5115480,2037630.4,1189669.9,8398614,0,9300276,1632859,12057421,4150111,0,2527065.3,1592401.5,0,1233248.6,1690049.6,1236900.3,0,0,0,0,1931416.3,1580196.1,0,0,1900342.3,1641826.3,0,0,1511840.1,0,0,1406985.6,0,1865897.4,1288962.3,0,3669696.8,0,2055461,2966911.5,0,0,0,2776953,0,4921815,1530338.1,2552383.3,0,1542566,0,2123801.3,4193895.8,1707890.6,2446467.8,2448573,0,0,2740273.3,1776733.1,0,0,0,2146478.8,3357306.5,2138715.5,0,1953933.4,1420448,0,0,0,0,1498991.9,0,0,1720126.6,0,0,0,0,0,0,2342464.3,0,2024407.5,0,1582328.3,1554531.3,0,0,0,2374581,1607952.3
Kelly_32,T_0,0,0,0,0,0,1629669.4,0,1030245.3,0,0,0,1232259.9,1432585.3,0,1518741.3,5053988,1483473.9,0,1007090.3,0,0,2806343.3,0,2853984.8,0,3494280.5,4182411.3,3080593,1463313,3465431.3,0,1678897.8,0,5553207.5,4666338.5,7591910.5,20131234,23828332,2350144.5,5532433,1150200.3,1424862.1,3849935.3,1541843.6,0,7386817.5,5331142.5,3757769.5,1954250.3,0,8858205,0,7740470,0,8514052,2614726,0,2101841.3,1335011,1118061.9,0,2057672.8,1452604.4,0,1453296.8,0,0,2141451,1542184.9,0,1272188.6,2052829.1,1243219.4,0,0,1486766.9,0,1964572.9,1413919.6,0,1838478,0,1343787.3,3698645.5,1858274.1,2507912.8,3119403.3,1545172.9,0,1767846.4,2979883.5,0,4932778.5,2110134,3076910.5,1296954.1,2029484.4,0,2567506.3,4677029.5,1804208.3,0,3242493,0,1727054.1,2689897,1793939.8,0,0,0,0,2830823.3,1924574.3,0,1451784.8,0,0,1445700.9,0,0,0,0,0,2094030.1,1494717,0,0,1940597.5,0,0,1563465.3,0,0,0,0,0,0,0,0,0,0
Kelly_33,T_0,0,0,0,0,0,2722093.8,0,0,0,0,0,0,1716941.6,0,0,2638338,2044435.9,0,0,0,0,2764565.3,1470709.3,2557945.8,0,3796718.3,4968688.5,3948277.3,1116034.3,2152455.5,0,1013294.7,0,5827188,6257650,8735734,22384006,24244006,1395537.6,3656829.3,0,1844997.6,3950552,1348572.3,0,5143388,5348692,4493646.5,1681225.9,1297093.4,7158016,0,7616237.5,0,11138260,3145908.8,0,1352674.8,1646758.9,0,0,2478057.8,1403549.3,0,0,0,0,1577973.4,1435156.1,0,0,1554266.9,0,0,0,1572564.9,0,1856988.9,0,0,1836458.1,0,0,2378960.3,0,1604641.8,2173283,0,0,0,2130024.3,0,2876033,1350794.8,1894556.8,0,1352625.8,0,1736885.1,2944672.5,0,0,2399374.8,0,0,2797456.3,1750357.1,0,0,0,0,2536708.5,1704607.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927390,0,1747050.3,2335596.5,0,0,0,0,0,1660737.4,0
Kelly_34,T_0,0,928093.4,0,0,0,4344407,0,1052497.8,0,0,1557895.9,0,1307897.4,0,1476576,3877702,1495153.8,0,1753569.1,1061713.4,1356630.9,4585068,1652034.1,4535622,1293134.5,3069486.8,4328497,5852725.5,1233972,4656953,0,2690895.8,0,9272647,6544047.5,11017907,34418732,38597044,2598474.3,5688543.5,1796492.5,1356348,3514873.3,0,0,7864103,7124243,6444803.5,2435831.8,1573870.6,8870582,0,11472047,1887699.5,15769254,4202650.5,1134348.5,1875261.1,2000678.5,0,2111016.8,2164081.5,1140309.5,0,0,1506606.6,1424186.8,2180167.8,1967714.8,0,1221912.3,1986112.3,1619573.5,0,0,0,0,0,2032671.6,0,2346151.3,0,0,3352635,1724229.6,2625151.5,2401464,1413369.1,1608504.4,1877929.9,2546135.8,0,4761603,1811468.9,3015733,0,1910628.3,0,1670894.3,4182785.3,0,2584346.3,2673945.8,0,1460269.6,3013424.3,1477925.8,0,0,0,2631270,3066385.5,1894355.8,1842062.6,0,1689793.3,0,0,1764338.3,0,0,0,1583672.9,1408466.8,0,0,0,0,0,2326939.8,2776819.8,0,2273197.3,2473166.8,0,1500436.1,0,0,0,0,0
Kelly_35,T_0,0,0,0,0,1009854.4,3226534,0,0,0,0,0,0,1459029.5,0,1763929.9,4803425.5,1137666.3,1404165,1252896,1224894.6,0,4018297.8,1580689.8,3846039,0,3222211.3,4001478.3,4591308,0,3759127,0,1747575.1,0,6915475,4948291.5,10693448,28918026,32629462,2112431,5184130.5,1294060.1,1250259.3,3458628.3,0,0,6983201.5,6919196.5,6008340.5,2301959.3,1941747.9,8242482,1086650,8618733,1158796.5,12886170,3358776.5,1221576.3,1528345.4,1509753.5,0,1155042.8,1752334.1,0,0,0,0,0,1471030.6,1154081.5,0,0,1903308.6,0,0,0,0,0,0,1809292.4,0,1629894.9,0,0,2809724,0,1897495.4,1891490.4,1820980.3,1416640.1,1263549.9,2310955.3,0,3799954.8,1562526.1,2804223.5,0,1282406.3,0,1486262,3480565.8,1384704.3,2235921,2135610.8,0,1311354.3,2146642.3,1460596,0,0,0,0,2633155.3,2009539,0,1815388.5,0,0,0,0,0,0,0,0,0,0,0,1693870.5,0,0,0,1790215.5,0,2313902,2076327.1,0,0,0,0,0,0,0
Kelly_36,T_0,979106.7,0,0,0,0,2387058.5,0,0,0,0,0,0,0,0,1690119.8,4215661.5,0,0,0,0,0,3549994.5,0,3167781.8,0,2622769.3,4390196,4339513,1193438,3523683.5,0,1866148.4,0,6406487,3657458.5,8991478,26660006,32210532,1751088.9,4199421,0,1617609.3,2746302.8,1132611.4,1038662.3,5248510,4645918,4769345,1933157.6,1408907,7498481,0,8494347,0,11534112,3799854,0,2342935.5,1912844.4,0,1515800.5,2099322.5,1145697.6,0,0,0,0,1634545.1,0,0,0,1789139.9,1229658.4,0,0,1428644.9,0,0,1542009.1,0,1727366.9,0,0,3886141,0,1875613.3,2780394,1708344,1484667.9,0,2250747.3,0,4176398.3,1694487.9,2750497.8,0,1625132.8,0,2232313.8,3435477.8,0,1981932,2194355.5,0,0,2503255.8,0,0,0,0,1663002.9,2640803.5,1971525.4,0,0,0,0,0,0,1713595.3,0,0,0,1942203.1,0,1436357.8,0,0,0,0,1631603.9,0,0,2237573.3,0,1749432,0,0,0,1570636.1,0
Kelly_37,T_0,0,940543.9,0,0,0,1379405.3,0,0,0,0,0,0,0,0,1463177.8,2926907.5,1629775.5,0,0,1317455.5,0,2907528.3,0,2991029.3,0,3459566,4514801,3063799,1276997.6,2132300,0,1256883.3,0,5321429,4749442,8161414,22550082,27510794,1645018.1,2565285.3,0,1341794,4006216.3,1224908.8,0,4529902,3468511.3,4089037.5,1668023.9,1392541.1,6218188.5,0,7682952.5,0,10710329,3561180.8,0,2467817.8,1799002.5,0,0,1628281.4,1327052.3,0,0,1133710.6,0,1969380.9,1329406.5,0,0,2226370.5,0,0,0,1871851.8,0,0,1409721.8,0,1538385.6,0,0,2845980,0,1936357.1,2146461,1532508.1,0,0,2656259,0,4400788,1663648.1,2556201.8,0,1418168,0,2203025.8,3662829.5,1463032.6,0,1806412.4,0,0,2562998.5,1369048.3,0,0,0,0,3202968.8,1858924.8,0,1802100.6,0,0,0,0,1444113.1,0,0,0,1663252.1,0,0,0,1794351.3,0,0,1960703,0,0,0,0,1638017.3,0,0,0,0,0
Kelly_38,T_0,0,0,0,0,0,2366118,0,0,0,0,0,0,1414775.3,0,1006706.9,2040176,0,1173480.8,0,1307133.4,0,2396599.8,0,2226101,0,3504064.3,4056514.8,3142087.8,0,2822383.5,0,1495338.6,0,5457323.5,4666676,8032055.5,22982864,27009652,1503524.4,2992081,0,1308756.1,3241248,0,0,4069465.8,4305466,3790361.5,2070262.9,0,6087398.5,0,7386272.5,0,10663505,3391479.3,0,1946400.5,1290397.5,0,1162537.5,2206767.3,1110172.6,0,1151201.6,0,0,1446768.1,0,0,0,1433655.1,0,0,0,1350128.1,0,2237509,0,0,1524452.4,0,0,2384349.3,0,1545821,2607297,2144030.3,0,0,1940930,0,4050873.3,2006978.5,2512298.3,0,1393036.3,0,1548426.6,3926060,1388339.5,2436671.5,2492364.5,0,1337702.1,2473229,1581713.8,0,0,0,2012634.6,2522973.3,1549058.1,0,1700262.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2895390.8,2771178.3,2579283,0,3227266.8,3543211,0,0,0,2321294.3,1691612
Kelly_39,T_0,0,889158.6,915512.7,0,1247297.8,2068392.8,987908.7,0,0,0,0,0,1518748.9,0,2509580,9846141,2245593.5,0,0,0,0,2904242.3,1406901.6,2936250.5,0,3239635.3,4482518,3139547.3,0,2736147,1036634.6,1591136.8,0,6368831,3855843.3,8160231,23343518,29352802,1996593.8,7661311,1527267.8,1792456,3656376,0,0,7611054,6900917,5373626.5,1743550.3,0,9228898,0,9820223,0,11401744,3727318,1770640.1,1785202.1,1607434,0,0,2421043.3,1181881.6,0,1193500.1,1470641.1,0,2555458,0,1321855.6,0,2308007,1532075.5,0,0,2171722.5,1559162.4,2578200,1907995.4,0,1766225,0,1928262,3228948.5,1351201.6,2420704.3,2549390,2108213.5,1730760.6,1534890.1,3329782,0,4906288,2694458,3620706.3,0,2142595.8,0,2446687.8,5161775.5,1422135.9,0,3205371.3,0,1408187.5,3342040.8,2050660.6,0,0,0,0,3380901.5,2344983.8,1531530.6,1868503.5,0,0,1391111.4,1522843.8,1488422.4,0,0,0,1589025.1,0,0,1702478.8,0,0,0,1804784.6,0,1656549.9,2653809,0,1889929.5,0,0,0,1557924,0
