Mass,C,H,O,N,S,P,NeutralMass,Error_ppm,MolecularFormula,El_comp,Class,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Kelly_01,Kelly_02,Kelly_03,Kelly_04,Kelly_05,Kelly_06,Kelly_07,Kelly_08,Kelly_09,Kelly_10,Kelly_100,Kelly_101,Kelly_102,Kelly_103,Kelly_104,Kelly_105,Kelly_106,Kelly_107,Kelly_108,Kelly_109,Kelly_11,Kelly_110,Kelly_111,Kelly_112,Kelly_113,Kelly_114,Kelly_115,Kelly_116,Kelly_117,Kelly_118,Kelly_119,Kelly_12,Kelly_120,Kelly_121,Kelly_122,Kelly_123,Kelly_124,Kelly_125,Kelly_126,Kelly_127,Kelly_128,Kelly_129,Kelly_13,Kelly_130,Kelly_131,Kelly_132,Kelly_133,Kelly_134,Kelly_135,Kelly_136,Kelly_137,Kelly_138,Kelly_139,Kelly_14,Kelly_140,Kelly_141,Kelly_142,Kelly_143,Kelly_144,Kelly_145,Kelly_146,Kelly_147,Kelly_148,Kelly_149,Kelly_15,Kelly_150,Kelly_151,Kelly_152,Kelly_153,Kelly_154,Kelly_155,Kelly_156,Kelly_157,Kelly_16,Kelly_17,Kelly_18,Kelly_19,Kelly_20,Kelly_21,Kelly_22,Kelly_23,Kelly_24,Kelly_25,Kelly_26,Kelly_27,Kelly_28,Kelly_29,Kelly_30,Kelly_31,Kelly_32,Kelly_33,Kelly_34,Kelly_35,Kelly_36,Kelly_37,Kelly_38,Kelly_39,Kelly_40,Kelly_41,Kelly_42,Kelly_43,Kelly_44,Kelly_45,Kelly_46,Kelly_47,Kelly_48,Kelly_49,Kelly_50,Kelly_51,Kelly_52,Kelly_53,Kelly_54,Kelly_55,Kelly_56,Kelly_57,Kelly_58,Kelly_59,Kelly_60,Kelly_61,Kelly_62,Kelly_63,Kelly_64,Kelly_65,Kelly_66,Kelly_67,Kelly_68,Kelly_69,Kelly_70,Kelly_71,Kelly_72,Kelly_73,Kelly_74,Kelly_75,Kelly_76,Kelly_77,Kelly_78,Kelly_79,Kelly_80,Kelly_81,Kelly_82,Kelly_83,Kelly_84,Kelly_85,Kelly_86,Kelly_87,Kelly_88,Kelly_89,Kelly_90,Kelly_91,Kelly_92,Kelly_93,Kelly_94,Kelly_95,Kelly_96,Kelly_97,Kelly_98,Kelly_99
151.040030285714,8.0,8.0,3.0,0.0,0.0,0.0,152.047306752594,0.245782095388162,C8H8O3,CHO,Lignin,0.375,1.0,-0.25,67.425,5.0,2.0,0.4,0.5384615384615384,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4053909.3,3847521.8,1393041.0,3569256.8,3245190.8,1617170.1,3642252.0,3488755.3,1713176.9,2364557.3,0.0,8969316.0,6316773.5,11504231.0,10913350.0,6343203.5,8117557.5,3240049.8,2401279.3,2857818.0,2145426.8,1080847.0,1634607.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036516.1,1074038.4,1981188.6,0.0,0.0,0.0,0.0,956825.4,968074.1,1129633.4,1043204.5,1082673.3,915292.6,1397418.3,1018865.6,1691857.5,0.0,0.0,1094087.3,1142561.9,4669049.5,6039041.0,4365456.5,2974352.5,1214501.1,5923240.0,4383580.0,1231402.5,0.0,0.0,927143.8,0.0,0.0,2181652.0,0.0,0.0,0.0,918809.9,916565.6,1398963.3,1276705.3,1417235.9,1041901.2,2055329.5,1090482.4,1787113.4,1411899.4,2477086.0,3678574.0,2578978.0,2643183.5,3899343.5,3184233.5,2188427.0,2293008.3,2396529.8,5766163.0,2180565.3,8163879.0,355757696.0,526728352.0,430257408.0,464995520.0,450147168.0,455748864.0,387145728.0,422909632.0,413810464.0,439987552.0,3179267.5,2956155.5,2567928.8,1854929.0,1626604.4,1588199.4,1493314.6,1651078.5,1723030.8,2125470.3,0.0,4261351.0,1226399.6,0.0,0.0,0.0,1721730.3,903089.0,1998802.1,3277821.0,873368.3,1910369.4,4120817.0,2331933.5,3054000.0,3446434.8,1851157.8,2098240.8,27161744.0,52809328.0,48118372.0,10188211.0,18950184.0,12706189.0,1796355.8,0.0,3156523.8,1422679.4,0.0,4509271.5,4674776.5,2010604.9,3984367.3,3409866.0,0.0,2971394.8,3247747.8,1332880.4
151.06117,5.0,12.0,5.0,0.0,0.0,0.0,152.06844646688,0.177741146358249,C5H12O5,CHO,Carbohydrate,1.0,2.4,-0.40000000000000036,71.7,0.0,-5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865582.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894490.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153.019317630137,7.0,6.0,4.0,0.0,0.0,0.0,154.026594097017,0.0946848375808869,C7H6O4,CHO,Lignin,0.5714285714285714,0.8571428571428571,0.2857142857142856,52.15714285714286,5.0,,0.3333333333333333,0.6,,2137040.8,3577408.0,0.0,1598614.1,2507079.5,0.0,1277074.4,1653900.4,1625564.6,2757641.8,2019641.1,1785561.1,1521894.4,1534408.3,1631304.3,1877842.0,1534872.3,2038758.9,1810085.3,0.0,5913493.5,8556397.0,7077796.0,8324278.5,5876739.0,6296142.5,4419528.5,32764944.0,32446740.0,16344814.0,10305546.0,9952473.0,16378667.0,8886578.0,8904569.0,7953168.0,5350611.0,6796765.5,5067116.0,9055847.0,19064588.0,18640466.0,7942910.0,7265536.5,4514748.0,7364391.5,2762056.3,0.0,1164090.0,1632831.8,2714887.5,1580095.3,2429903.5,4740005.5,1220000.8,1246922.4,1678121.1,3162483.0,1381583.8,2262381.5,6065564.0,8627753.0,7196066.0,4160248.0,10147714.0,8032995.0,6501032.5,9291344.0,18815268.0,7283591.5,3732663.5,5191219.5,3962732.3,7453472.5,4523926.5,5874952.5,4877512.5,5542923.5,0.0,0.0,0.0,852451.8,859289.1,1068240.0,0.0,0.0,0.0,929721.3,1561396.3,1164070.3,0.0,1278428.4,1359426.8,1268943.4,1605611.0,1236908.3,2013907.4,1159590.3,1829704.9,6708357.0,9733333.0,8355189.0,8450794.0,8156608.5,8261448.5,8006242.5,8349726.5,7293766.0,7520435.0,8975335.0,8610994.0,7585302.0,5730765.0,5621651.5,5330294.0,5975223.0,6292299.5,4589606.0,5861094.5,13511846.0,9500877.0,11281382.0,11025917.0,13705748.0,8876200.0,1346626.9,945143.1,975984.8,1776978.4,1150866.6,1821814.9,1602164.3,1403064.8,2177582.3,1588819.9,1716085.6,1620093.1,5978949.0,8792751.0,6723917.0,4196507.5,6461604.5,5461402.5,12401316.0,14964371.0,14172525.0,8500731.0,12425630.0,17498022.0,28303690.0,32702192.0,12441501.0,13582653.0,14771820.0,9411252.0,1304145.4,919675.8
154.014559615385,6.0,5.0,4.0,1.0,0.0,0.0,155.021836082265,0.139153527701145,C6H5O4N,CHON,Tannin,0.6666666666666666,0.8333333333333334,1.0,31.799999999999997,5.0,,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924266.9,1231614.8,1394360.3,870925.6,1006901.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911207.5,0.0,0.0,0.0,904230.9,0.0,0.0,0.0,0.0,995675.3,0.0,1026866.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859021.5,884399.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916292.6,0.0,0.0,0.0,939367.4,0.0,0.0,865988.8,1059384.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891077.9,1120691.9,1651632.6,0.0,975242.6,1820993.9,1015969.7,0.0,866773.3,0.0,979849.3,955507.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910666.4,986482.3
154.998608314815,6.0,4.0,5.0,0.0,0.0,0.0,156.005884781695,-0.0739894830402111,C6H4O5,CHO,Cond. HC,0.8333333333333334,0.6666666666666666,1.0,31.799999999999997,5.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487480.0,1727796.4,0.0,1550345.0,0.0,1353054.5,1488020.1,1371053.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862528.6,1404644.4,1078004.0,0.0,0.0,0.0,0.0,1128754.8,0.0,0.0,0.0,866859.1,1049547.3,0.0,0.0,1155343.3,1046765.6,901394.5,928559.7,0.0,0.0,1331167.4,918529.3,1252218.1,1004520.7,0.0,1141985.0,1551400.8,0.0,1304945.9,1323169.6,972611.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019429.6,1197962.8,0.0,0.0,1457392.6,0.0,1536331.5,1255876.8,1148437.3,1331472.0,1019074.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293840.4,0.0,0.0,0.0,1043299.6,1054537.9,1448345.6,0.0,1452157.3,1925123.1,1488258.3,1892390.5,1550686.6,1683264.0,1316971.9,3033626.0,2137614.8,1651826.5,0.0,0.0,0.0,0.0,0.0,0.0,1169882.5,1656771.4,0.0,0.0,0.0,0.0,1255496.0,0.0,1170315.8,1162635.4,0.0,0.0,2532690.3,1490273.4
155.07135,8.0,12.0,3.0,0.0,0.0,0.0,156.07862646688,0.113946543583218,C8H12O3,CHO,Protein,0.375,1.5,-0.75,81.675,3.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918280.8,0.0,967275.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157.0506583,7.0,10.0,4.0,0.0,0.0,0.0,158.05793476688,-0.164227629848068,C7H10O4,CHO,Lignin,0.5714285714285714,1.4285714285714286,-0.2857142857142856,68.44285714285714,3.0,-1.0,-0.3333333333333333,0.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214516.4,1281495.8,916335.5,1082478.5,1003204.8,1079386.8,989275.3,1126099.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090972.3,0.0,1241082.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0663068,7.0,12.0,4.0,0.0,0.0,0.0,160.07358326688,-0.152387917497282,C7H12O4,CHO,Amino sugar,0.5714285714285714,1.7142857142857142,-0.5714285714285712,76.58571428571427,2.0,-2.0,-0.6666666666666666,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037365.0,887661.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253480.3,1268001.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0818881,7.0,14.0,4.0,0.0,0.0,0.0,162.08916456688,0.273743899617051,C7H14O4,CHO,Amino sugar,0.5714285714285714,2.0,-0.8571428571428568,84.72857142857141,,-3.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277550.5,1034864.9,1140019.5,1596445.8,1319929.4,1219909.5,1016179.4,1448700.0,1446229.4,1457884.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.024769755556,5.0,8.0,6.0,0.0,0.0,0.0,164.032046222436,0.254626857579109,C5H8O6,CHO,Carbohydrate,1.2,1.6,0.7999999999999998,37.5,2.0,-4.0,4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,892559.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570416.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121135.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884698.4,0.0,0.0,1012882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913435.1,0.0,0.0,0.0,1227268.5,0.0,1665177.0,0.0,1772896.8,1431986.5,1108063.9,1120718.5,1122584.9,2276393.3,2454613.5,1912290.3,1477827.6,0.0,1773433.5,2112298.0,2383056.3,0.0,2044686.4,2703804.0,4782349.5,5405354.5,6132745.0,4561363.0,5210875.0,5607152.0,5293337.5,5103111.0,5316030.5,4959040.0,0.0,1083268.9,0.0,945108.9,1030852.0,935628.1,0.0,1008121.5,1068554.1,1285577.0,0.0,0.0,0.0,950115.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633301.1,1696771.0,0.0,0.0,852187.3,1105733.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3251020.5,0.0,0.0,0.0,0.0,0.0,0.0
